B1:1
B2:1
B3:1
B4:1
B5:1
B6:1
C1:1
C2:1
C3:1
D12:1
E30:1
E31:1
E32:1
E33:1
E34:1
E35:1
E37:1
E38:1
E39:1
E40:1
GPIO0:1
GPIO1:1
GPIO13:1
GPIO14:1
GPIO15:1
GPIO16:1
GPIO17:1
GPIO18:1
GPIO2:1
GPIO21:1
GPIO22:1
GPIO26:1
GPIO27:1
GPIO28:1
GPIO3:1
GPIO4:1
QR*****:1
R1:1
R2:1
R3:1
R4:1
REF**:1
U1:1
