Designator,Mid X,Mid Y,Rotation,Layer
B1,157.438,-153.154,0.0,top
B2,141.938,-146.654,0.0,top
B3,141.938,-139.654,0.0,top
B4,141.938,-153.654,0.0,top
B5,157.438,-146.154,0.0,top
B6,157.438,-139.154,0.0,top
C1,127.093,-68.318,90.0,top
C2,127.586,-81.018,0.0,top
C3,127.093,-72.382,90.0,top
D12,149.938,-109.154,0.0,top
E30,168.438,-146.154,0.0,top
E31,168.438,-139.154,0.0,top
E32,130.938,-146.654,180.0,top
E33,130.998,-139.654,180.0,top
E34,130.938,-153.654,180.0,top
E35,168.438,-153.154,0.0,top
E37,158.938,-163.154,280.0,top
E38,140.938,-163.154,260.0,top
E39,171.612805,-118.662992,328.0,top
E40,127.438,-116.832,220.0,top
GPIO0,127.938,-49.154,124.5,top
GPIO1,116.438,-60.154,145.0,top
GPIO13,127.438,-94.654,90.0,top
GPIO14,140.938,-109.154,0.0,top
GPIO15,149.938,-100.404,270.0,top
GPIO16,158.688,-109.154,180.0,top
GPIO17,149.938,-118.154,90.0,top
GPIO18,172.438,-94.654,90.0,top
GPIO2,111.438,-73.654,168.5,top
GPIO21,182.438,-105.154,324.5,top
GPIO22,188.438,-90.654,348.5,top
GPIO26,188.438,-73.654,11.0,top
GPIO27,182.938,-60.154,35.0,top
GPIO28,172.438,-49.154,58.0,top
GPIO3,111.438,-90.654,191.5,top
GPIO4,117.938,-105.154,215.0,top
R1,138.176,-116.84,0.0,top
R2,141.224,-96.52,270.0,top
R3,161.036,-101.6,180.0,top
R4,157.988,-120.904,90.0,top
U1,149.638,-65.424,0.0,top
