Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer-FUET-4020,1,Buzzer-FUET-4020,C391027
"C4, C5, C6, C7, C8, C9",0603,6,100nF,C14663
"D1, D2, D3, D4",WS2812B-Mini,4,WS2812B-Mini,C527089
J1,HY-4A-THT,1,HY-4A,C146064
"J2, J3",PinHeader_1x03_P2.54mm_Vertical,2,pin_header_1x3,
"R1, R2, R3, R4",0603,4,1M,C105578
"R5, R6",0603,2,10k,C25804
U2,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,C95230
